spanish,english,category,pos,gender
cero,zero,numbers,numeral,
uno,one,numbers,numeral,
dos,two,numbers,numeral,
tres,three,numbers,numeral,
cuatro,four,numbers,numeral,
cinco,five,numbers,numeral,
seis,six,numbers,numeral,
siete,seven,numbers,numeral,
ocho,eight,numbers,numeral,
nueve,nine,numbers,numeral,
diez,ten,numbers,numeral,
once,eleven,numbers,numeral,
doce,twelve,numbers,numeral,
trece,thirteen,numbers,numeral,
catorce,fourteen,numbers,numeral,
quince,fifteen,numbers,numeral,
dieciséis,sixteen,numbers,numeral,
diecisiete,seventeen,numbers,numeral,
dieciocho,eighteen,numbers,numeral,
diecinueve,nineteen,numbers,numeral,
veinte,twenty,numbers,numeral,
treinta,thirty,numbers,numeral,
cuarenta,forty,numbers,numeral,
cincuenta,fifty,numbers,numeral,
sesenta,sixty,numbers,numeral,
setenta,seventy,numbers,numeral,
ochenta,eighty,numbers,numeral,
noventa,ninety,numbers,numeral,
cien,hundred,numbers,numeral,
mil,thousand,numbers,numeral,
rojo,red,colors,adjective,
azul,blue,colors,adjective,
verde,green,colors,adjective,
amarillo,yellow,colors,adjective,
naranja,orange,colors,adjective,
morado,purple,colors,adjective,
rosa,pink,colors,adjective,
negro,black,colors,adjective,
blanco,white,colors,adjective,
gris,grey,colors,adjective,
marrón,brown,colors,adjective,
beige,beige,colors,adjective,
lunes,Monday,days,noun,m
martes,Tuesday,days,noun,m
miércoles,Wednesday,days,noun,m
jueves,Thursday,days,noun,m
viernes,Friday,days,noun,m
sábado,Saturday,days,noun,m
domingo,Sunday,days,noun,m
enero,January,months,noun,m
febrero,February,months,noun,m
marzo,March,months,noun,m
abril,April,months,noun,m
mayo,May,months,noun,m
junio,June,months,noun,m
julio,July,months,noun,m
agosto,August,months,noun,m
septiembre,September,months,noun,m
octubre,October,months,noun,m
noviembre,November,months,noun,m
diciembre,December,months,noun,m
la primavera,spring,seasons,noun,f
el verano,summer,seasons,noun,m
el otoño,autumn,seasons,noun,m
el invierno,winter,seasons,noun,m
la familia,family,family,noun,f
el padre,father,family,noun,m
la madre,mother,family,noun,f
el hijo,son,family,noun,m
la hija,daughter,family,noun,f
el hermano,brother,family,noun,m
